"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
J7193,"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u.",Alphanine SD*,Factor Ix*,"$19,515,891","2,691,300",663,113,$7.25,"$29,435.73","$172,707.00","$19,103,088","1,277,155",566,97,$14.96,"$33,751.04","$196,939.05","$14,290,211","709,941",429,80,$20.13,"$33,310.51","$178,627.63","$13,932,074","500,770",451,69,$27.82,"$30,891.52","$201,914.11","$11,849,404","2,110,276",346,55,$5.62,"$34,246.83","$215,443.71",$1.14,-79.82%,-6.19%
J7194,"Factor ix, complex, per i.u.",Bebulin*,"Factor Ix Cplx(Pcc)no6,3factor*","$1,897,156","788,957",351,287,$2.40,"$5,405.00","$6,610.30","$1,548,574","529,642",226,194,$2.92,"$6,852.10","$7,982.34","$1,650,409","445,568",207,177,$3.70,"$7,972.99","$9,324.34","$2,123,818","343,203",168,135,$6.19,"$12,641.77","$15,731.98","$1,396,603","711,397",144,123,$1.96,"$9,698.63","$11,354.50",$1.36,-68.28%,-4.94%
J7195,"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",Benefix,Factor Ix Human Recombinant,"$53,013,790","3,922,642","1,609",296,$13.51,"$32,948.28","$179,100.64","$62,037,606","4,330,856","1,950",302,$14.32,"$31,814.16","$205,422.54","$53,049,837","4,542,192","1,889",279,$11.68,"$28,083.56","$190,142.78","$51,082,718","3,843,062","1,848",259,$13.29,"$27,642.16","$197,230.57","$45,760,630","9,613,914","1,792",239,$4.76,"$25,536.07","$191,467.07",$1.51,-64.19%,-22.96%
J7198,"Anti-inhibitor, per i.u.",Feiba NF,Anti-Inhibitor Coagulant Comp.,"$40,098,265","2,586,733",961,110,$15.50,"$41,725.56","$364,529.68","$41,098,064","1,119,184","1,035",123,$36.72,"$39,708.27","$334,130.60","$44,882,040","1,488,533","1,210",168,$30.15,"$37,092.60","$267,155.00","$51,272,311","1,342,699","1,293",160,$38.19,"$39,653.76","$320,451.95","$61,073,418","7,806,312","1,616",159,$7.82,"$37,792.96","$384,109.55",$1.93,-79.51%,-15.71%
J7200,"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu",Rixubis,Factor Ix Human Recombinant, , , , , , , , , , , , , , ,"$7,863,493","318,126",188,19,$24.72,"$41,827.09","$413,868.06","$12,312,028","21,925",319,22,$561.55,"$38,595.70","$559,637.63","$11,155,671","3,751,906",314,21,$2.97,"$35,527.61","$531,222.41",$1.26,-99.47%,-65.32%
J7201,"Injection, factor ix, fc fusion protein, (recombinant), alprolix, 1 i.u.",Alprolix,"Factor Ix Rec, Fc Fusion Protn", , , , , , , , , , , , , , ,"$31,653,209","1,457,255",632,66,$21.72,"$50,084.19","$479,594.08","$41,770,357","2,288,249",866,90,$18.25,"$48,233.67","$464,115.08","$52,381,845","7,127,819","1,135",88,$7.35,"$46,151.41","$595,248.24",$2.95,-59.74%,-41.83%
J7205,"Injection, factor viii fc fusion protein (recombinant), per iu",Eloctate,"Antihemoph.FVIII Rec,fc Fusion", , , , , , , , , , , , , , ,"$26,822,149","2,252,012",625,91,$11.91,"$42,915.44","$294,748.89","$50,877,126","2,264,579","1,291",136,$22.47,"$39,409.08","$374,096.52","$66,846,665","6,875,115","1,673",140,$9.72,"$39,956.17","$477,476.18",$2.00,-56.72%,-9.65%
J7308,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",Levulan,Aminolevulinic Acid HCL,"$22,915,114","140,172","121,385","81,092",$163.48,$188.78,$282.58,"$35,268,769","150,269","130,383","85,919",$234.71,$270.50,$410.49,"$42,630,522","158,867","138,364","91,482",$268.34,$308.10,$466.00,"$51,756,990","168,067","147,227","96,805",$307.95,$351.55,$534.65,"$55,106,966","156,855","138,337","92,172",$351.33,$398.35,$597.87,$362.61,14.08%,21.08%
J7312,"Injection, dexamethasone, intravitreal implant, 0.1 mg",Ozurdex,Dexamethasone,"$13,905,214","73,761","10,808","6,402",$188.52,"$1,286.57","$2,172.01","$21,209,507","108,201","15,332","9,098",$196.02,"$1,383.35","$2,331.23","$32,539,717","164,730","23,103","12,232",$197.53,"$1,408.46","$2,660.21","$39,161,163","199,628","27,831","14,338",$196.17,"$1,407.11","$2,731.28","$45,171,960","229,000","31,809","16,134",$197.26,"$1,420.10","$2,799.80",$200.78,0.55%,1.14%
J7313,"Injection, fluocinolone acetonide, intravitreal implant, 0.01 mg",Iluvien,Fluocinolone Acetonide, , , , , , , , , , , , , , , , , , , , , ,"$10,369,957","21,461","1,135",940,$483.20,"$9,136.53","$11,031.87","$11,232,220","23,266","1,216","1,004",$482.77,"$9,237.02","$11,187.47",$490.91,-0.09%,-0.09%
J7316,"Injection, ocriplasmin, 0.125 mg",Jetrea,Ocriplasmin/PF, , , , , , , ,"$6,872,144","6,996","1,756","1,708",$982.37,"$3,913.52","$4,023.50","$4,810,161","4,683","1,229","1,179","$1,027.26","$3,913.88","$4,079.86","$2,589,009","2,519",655,628,"$1,027.79","$3,952.69","$4,122.63","$1,788,814","1,747",465,446,"$1,023.93","$3,846.91","$4,010.79","$1,046.75",-0.38%,1.39%
J7321,"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose",Hyalgan*,Hyaluronate Sodium*,"$70,636,747","812,456","622,448","136,351",$86.94,$113.48,$518.05,"$70,935,084","798,899","615,381","131,588",$88.79,$115.27,$539.07,"$70,839,898","810,671","622,202","132,121",$87.38,$113.85,$536.17,"$69,552,328","806,674","619,890","131,415",$86.22,$112.20,$529.26,"$61,065,753","718,066","550,561","117,139",$85.04,$110.92,$521.31,$86.62,-1.37%,-0.55%
J7323,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose",Euflexxa,Hyaluronate Sodium,"$59,872,836","391,082","294,535","92,694",$153.10,$203.28,$645.92,"$64,526,152","417,573","314,288","98,339",$154.53,$205.31,$656.16,"$63,419,150","425,409","318,765","98,601",$149.08,$198.95,$643.19,"$67,649,989","446,575","330,586","101,522",$151.49,$204.64,$666.36,"$70,943,036","467,142","346,265","105,887",$151.87,$204.88,$669.99,$154.69,0.25%,-0.20%
J7324,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose",Orthovisc,Hyaluronate Sodium,"$65,246,731","387,007","297,357","89,160",$168.59,$219.42,$731.79,"$79,158,808","442,788","338,402","99,425",$178.77,$233.92,$796.17,"$86,514,825","508,032","385,009","110,709",$170.29,$224.71,$781.46,"$88,772,116","551,555","416,422","117,689",$160.95,$213.18,$754.29,"$78,050,490","531,953","397,938","112,394",$146.72,$196.14,$694.44,$149.18,-8.84%,-3.41%
J7325,"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",Synvisc*,Hylan G-F 20*,"$148,583,684","12,146,940","305,069","177,877",$12.23,$487.05,$835.32,"$141,784,371","11,550,410","283,685","167,557",$12.28,$499.80,$846.19,"$141,263,127","11,287,832","273,163","162,328",$12.51,$517.14,$870.23,"$139,424,279","11,085,552","264,553","158,231",$12.58,$527.02,$881.14,"$132,684,339","10,693,350","248,532","150,048",$12.41,$533.87,$884.28,$12.63,-1.34%,0.36%
J7326,"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose",Gel-One,"Hyaluronate Sod, Cross-Linked","$9,962,108","29,560","13,065","11,895",$337.01,$762.50,$837.50,"$15,135,415","27,285","21,540","18,880",$554.72,$702.67,$801.66,"$18,763,787","33,737","26,411","22,933",$556.18,$710.45,$818.20,"$23,931,700","41,858","32,517","27,799",$571.73,$735.98,$860.88,"$25,962,466","47,785","37,034","31,518",$543.32,$701.04,$823.73,$556.23,-4.97%,12.68%
J7327,"Hyaluronan or derivative, monovisc, for intra-articular injection, per dose",Monovisc,"Hyaluronate Sodium, Stabilized", , , , , , , , , , , , , , ,"$22,177,666","37,203","18,232","16,166",$596.13,"$1,216.41","$1,371.87","$37,762,201","41,772","32,677","27,652",$904.01,"$1,155.62","$1,365.62","$54,770,265","63,511","49,569","42,195",$862.37,"$1,104.93","$1,298.03",$881.45,-4.61%,20.28%
J7336,"Capsaicin 8% patch, per square centimeter",Qutenza,Capsaicin/Skin Cleanser, , , , , , , , , , , , , , ,"$165,728","61,222",196,152,$2.71,$845.55,"$1,090.31","$201,608","69,827",181,144,$2.89,"$1,113.86","$1,400.06","$79,033","26,786",72,57,$2.95,"$1,097.67","$1,386.54",$3.08,2.19%,4.40%
J7500,"Azathioprine, oral, 50 mg",Azasan*,Azathioprine*,"$428,031","1,848,631","34,467","4,447",$0.23,$12.42,$96.25,"$349,339","1,827,173","34,538","4,479",$0.19,$10.11,$77.99,"$474,773","1,890,118","35,890","4,613",$0.25,$13.23,$102.92,"$672,283","1,986,427","37,760","4,790",$0.34,$17.80,$140.35,"$659,327","2,017,317","38,258","4,755",$0.33,$17.23,$138.66,$0.33,-3.43%,9.00%
J7502,"Cyclosporine, oral, 100 mg",Cyclosporine (J7502)*,Cyclosporine*,"$10,138,293","3,024,773","48,392","6,401",$3.35,$209.50,"$1,583.86","$8,659,139","2,746,500","44,620","5,801",$3.15,$194.06,"$1,492.70","$7,513,963","2,486,473","40,648","5,317",$3.02,$184.85,"$1,413.20","$7,570,566","2,254,974","37,105","4,805",$3.36,$204.03,"$1,575.56","$5,628,846","2,049,634","33,793","4,343",$2.75,$166.57,"$1,296.07",$2.79,-18.20%,-4.86%
J7503,"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg",Envarsus Xr,Tacrolimus, , , , , , , , , , , , , , , , , , , , , ,"$3,191,926","2,811,563","4,456",804,$1.14,$716.32,"$3,970.06","$11,061,841","9,122,337","14,086","1,931",$1.21,$785.31,"$5,728.56",$1.23,6.81%,6.81%
J7507,"Tacrolimus, immediate release, oral, 1 mg",Hecoria*,Tacrolimus*,"$138,374,763","84,058,857","578,008","70,166",$1.65,$239.40,"$1,972.11","$122,004,760","90,125,847","642,234","75,598",$1.35,$189.97,"$1,613.86","$94,882,357","93,736,051","659,453","78,721",$1.01,$143.88,"$1,205.30","$76,317,065","97,216,149","697,977","82,665",$0.79,$109.34,$923.21,"$65,961,290","104,293,887","759,960","86,290",$0.63,$86.80,$764.41,$0.65,-19.43%,-21.27%
J7508,"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg",Astagraf Xl,Tacrolimus, , , , , , , ,"$1,477,364","3,758,472","2,211",460,$0.39,$668.19,"$3,211.66","$4,395,953","11,429,996","7,243",938,$0.38,$606.92,"$4,686.52","$5,162,633","13,382,276","8,832","1,103",$0.39,$584.54,"$4,680.54","$5,969,061","14,775,220","9,371","1,046",$0.40,$636.97,"$5,706.56",$0.41,4.72%,0.92%
J7509,"Methylprednisolone oral, per 4 mg",Medrol*,MethylprednIsolone*,"$26,095","39,176","1,303",331,$0.67,$20.03,$78.84,"$19,979","36,523","1,262",318,$0.55,$15.83,$62.83,"$13,365","28,333","1,034",267,$0.47,$12.93,$50.06,"$9,371","30,089",949,163,$0.31,$9.87,$57.49,"$12,009","31,284",950,147,$0.38,$12.64,$81.69,$0.38,23.25%,-12.87%
J7510,"Prednisolone oral, per 5 mg",Flo-Pred*,PrednIsolone Acetate*,"$2,477","69,886","1,847",478,$0.04,$1.34,$5.18,"$5,937","56,558","1,729",438,$0.10,$3.43,$13.55,"$2,894","26,832",905,460,$0.11,$3.20,$6.29,"$7,367","61,624","1,336",374,$0.12,$5.51,$19.70,"$3,704","46,626","1,284",204,$0.08,$2.88,$18.16,$0.08,-33.54%,22.36%
J7511,"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25 mg",Thymoglobulin,"Lymphocyte Immune Glob,rabbit","$1,815,100","3,347",678,348,$542.31,"$2,677.14","$5,215.81","$1,899,251","3,365",636,373,$564.41,"$2,986.24","$5,091.83","$1,878,534","3,128",581,354,$600.55,"$3,233.28","$5,306.59","$2,029,217","3,113",564,368,$651.85,"$3,597.90","$5,514.18","$1,980,967","2,884",583,386,$686.88,"$3,397.88","$5,132.04",$698.17,5.37%,6.09%
J7512,"Prednisone, immediate release or delayed release, oral, 1 mg",PrednIsone*,PrednIsone*, , , , , , , , , , , , , , , , , , , , , ,"$543,394","51,530,536","260,668","37,902",$0.01,$2.08,$14.34,"$490,713","56,560,403","289,548","40,941",$0.01,$1.69,$11.99,$0.01,-17.73%,-17.73%
J7515,"Cyclosporine, oral, 25 mg",Cyclosporine (J7515)*,Cyclosporine*,"$12,340,162","13,508,302","92,954","11,447",$0.91,$132.76,"$1,078.03","$10,944,628","12,979,367","89,194","10,854",$0.84,$122.71,"$1,008.35","$10,142,107","12,315,584","85,216","10,313",$0.82,$119.02,$983.43,"$10,988,823","11,806,235","81,789","9,817",$0.93,$134.36,"$1,119.37","$8,928,041","11,339,018","78,222","9,202",$0.79,$114.14,$970.23,$0.80,-15.41%,-3.65%
J7517,"Mycophenolate mofetil, oral, 250 mg",Cellcept*,Mycophenolate Mofetil*,"$70,607,479","60,685,108","367,858","46,229",$1.16,$191.94,"$1,527.34","$77,735,515","61,270,297","379,994","47,310",$1.27,$204.57,"$1,643.11","$77,511,491","62,753,928","391,902","48,062",$1.24,$197.78,"$1,612.74","$63,789,661","65,184,356","409,243","50,311",$0.98,$155.87,"$1,267.91","$64,064,617","67,508,479","428,006","51,642",$0.95,$149.68,"$1,240.55",$0.99,-3.03%,-4.97%
J7518,"Mycophenolic acid, oral, 180 mg",Mycophenolic Acid*,Mycophenolate Sodium*,"$123,490,068","33,721,440","195,369","24,510",$3.66,$632.09,"$5,038.35","$132,505,195","35,858,864","210,705","26,084",$3.70,$628.87,"$5,079.94","$115,784,054","37,902,241","224,972","27,369",$3.05,$514.66,"$4,230.48","$116,474,023","39,356,343","236,687","28,873",$2.96,$492.10,"$4,034.01","$111,383,645","41,600,229","254,662","30,280",$2.68,$437.38,"$3,678.46",$2.73,-9.53%,-7.53%
J7520,"Sirolimus, oral, 1 mg",Rapamune*,Sirolimus*,"$47,848,338","3,853,045","62,042","8,007",$12.42,$771.22,"$5,975.81","$52,686,083","3,561,791","60,541","7,684",$14.79,$870.25,"$6,856.60","$45,323,956","3,306,013","59,521","7,416",$13.71,$761.48,"$6,111.64","$27,217,255","3,204,032","59,796","7,360",$8.49,$455.17,"$3,698.00","$23,746,984","3,104,244","59,441","7,200",$7.65,$399.51,"$3,298.19",$7.78,-9.95%,-11.41%
J7525,"Tacrolimus, parenteral, 5 mg",Prograf,Tacrolimus,"$28,453",216,120,33,$131.73,$237.11,$862.21,"$36,501",570,215,32,$64.04,$169.77,"$1,140.67","$49,710",662,269,49,$75.09,$184.80,"$1,014.50","$35,349",232,193,36,$152.37,$183.15,$981.91,"$34,116",186,168,31,$183.42,$203.07,"$1,100.53",$178.79,20.38%,8.63%
J7527,"Everolimus, oral, 0.25 mg",Zortress,Everolimus,"$8,602,409","1,391,626","5,156",804,$6.18,"$1,668.43","$10,699.51","$15,302,584","2,284,198","8,145","1,208",$6.70,"$1,878.77","$12,667.70","$22,054,560","3,230,761","11,023","1,528",$6.83,"$2,000.78","$14,433.61","$32,093,977","4,301,884","13,737","1,885",$7.46,"$2,336.32","$17,025.98","$41,396,917","5,253,438","16,164","2,161",$7.88,"$2,561.06","$19,156.37",$8.02,5.62%,6.26%
J7605,"Arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms",Brovana,Arformoterol Tartrate,"$120,504,571","22,592,155","384,336","65,152",$5.33,$313.54,"$1,849.59","$148,733,871","24,166,805","409,400","68,011",$6.15,$363.30,"$2,186.91","$178,577,586","24,847,192","420,618","68,562",$7.19,$424.56,"$2,604.61","$211,025,896","24,872,613","420,202","66,737",$8.48,$502.20,"$3,162.05","$218,668,173","23,813,185","399,992","62,154",$9.18,$546.68,"$3,518.17",$9.33,8.23%,14.55%
J7606,"Formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms",Perforomist,Formoterol Fumarate,"$62,443,837","10,746,626","179,849","30,257",$5.81,$347.20,"$2,063.78","$68,479,041","10,184,923","170,430","28,171",$6.72,$401.80,"$2,430.83","$79,603,161","9,803,060","164,268","27,447",$8.12,$484.59,"$2,900.25","$98,382,756","9,920,893","166,410","28,444",$9.92,$591.21,"$3,458.82","$103,672,339","9,994,716","166,662","28,242",$10.37,$622.05,"$3,670.86",$10.54,4.60%,15.59%
J7608,"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram",Acetylcysteine,Acetylcysteine,"$346,276","156,150","8,376","2,784",$2.22,$41.34,$124.38,"$628,638","253,534","11,193","3,157",$2.48,$56.16,$199.13,"$1,131,930","315,308","13,731","3,774",$3.59,$82.44,$299.93,"$1,391,839","379,636","14,040","4,457",$3.67,$99.13,$312.28,"$1,458,945","390,940","14,405","4,764",$3.73,$101.28,$306.24,$4.57,1.79%,13.90%
J7611,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 1 mg",Albuterol Sulfate (J7611),Albuterol Sulfate,"$268,475","2,714,442","39,391","25,392",$0.10,$6.82,$10.57,"$231,092","2,238,792","38,022","26,254",$0.10,$6.08,$8.80,"$222,707","1,895,095","36,078","25,979",$0.12,$6.17,$8.57,"$202,587","1,835,018","38,017","27,727",$0.11,$5.33,$7.31,"$218,545","1,732,748","37,655","27,755",$0.13,$5.80,$7.87,$0.13,14.24%,6.27%
J7612,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",Levalbuterol Concentrate*,Levalbuterol HCL*,"$38,857","166,754","5,824","3,946",$0.23,$6.67,$9.85,"$27,510","145,759","5,003","3,322",$0.19,$5.50,$8.28,"$34,435","169,744","5,460","3,799",$0.20,$6.31,$9.06,"$58,018","250,858","5,034","3,595",$0.23,$11.53,$16.14,"$56,053","285,337","3,729","3,052",$0.20,$15.03,$18.37,$0.20,-15.06%,-4.18%
J7613,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg",Albuterol Sulfate (J7613),Albuterol Sulfate,"$21,587,945","428,726,351","1,864,714","579,597",$0.05,$11.58,$37.25,"$18,131,224","355,053,591","1,647,169","529,048",$0.05,$11.01,$34.27,"$20,576,488","320,554,696","1,551,954","515,831",$0.06,$13.26,$39.89,"$14,321,713","302,950,709","1,504,887","509,081",$0.05,$9.52,$28.13,"$13,609,718","287,577,884","1,479,114","527,390",$0.05,$9.20,$25.81,$0.05,0.11%,-1.54%
J7614,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg",Levalbuterol HCL*,Levalbuterol HCL*,"$1,971,062","14,041,820","104,471","45,767",$0.14,$18.87,$43.07,"$1,173,418","12,775,717","93,766","42,121",$0.09,$12.51,$27.86,"$1,159,076","12,096,629","90,785","41,903",$0.10,$12.77,$27.66,"$917,751","12,235,431","90,326","41,415",$0.08,$10.16,$22.16,"$827,043","13,596,135","92,823","43,575",$0.06,$8.91,$18.98,$0.06,-18.90%,-18.86%
J7620,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",Ipratropium-Albuterol,Ipratropium/Albuterol Sulfate,"$32,503,643","166,463,699","1,662,745","422,012",$0.20,$19.55,$77.02,"$27,067,357","149,722,219","1,509,383","408,404",$0.18,$17.93,$66.28,"$23,627,465","141,603,291","1,453,235","415,176",$0.17,$16.26,$56.91,"$22,481,762","136,711,868","1,436,362","425,255",$0.16,$15.65,$52.87,"$19,929,833","134,614,449","1,449,275","458,736",$0.15,$13.75,$43.45,$0.15,-9.97%,-6.69%
J7626,"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg",Budesonide*,Budesonide*,"$230,746,481","44,396,365","762,143","139,854",$5.20,$302.76,"$1,649.91","$225,184,615","43,620,093","747,786","135,307",$5.16,$301.14,"$1,664.25","$229,812,110","43,541,689","748,461","136,104",$5.28,$307.05,"$1,688.50","$196,457,628","43,993,404","758,403","138,543",$4.47,$259.04,"$1,418.03","$139,259,341","43,865,124","753,891","138,805",$3.17,$184.72,"$1,003.27",$3.22,-28.91%,-11.59%
J7631,"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams",Cromolyn Sodium,Cromolyn Sodium,"$199,266","370,996","1,827",618,$0.54,$109.07,$322.44,"$161,351","383,489","2,065",651,$0.42,$78.14,$247.85,"$305,683","420,059","2,529",686,$0.73,$120.87,$445.60,"$356,970","441,463","2,683",737,$0.81,$133.05,$484.36,"$263,438","328,449","2,065",677,$0.80,$127.57,$389.13,$0.80,-0.81%,10.54%
J7639,"Dornase alfa, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Pulmozyme,Dornase Alfa,"$15,437,803","495,686","6,137","1,133",$31.14,"$2,515.53","$13,625.60","$18,331,884","546,645","7,023","1,216",$33.54,"$2,610.26","$15,075.56","$20,931,360","571,926","7,293","1,222",$36.60,"$2,870.06","$17,128.77","$26,059,872","651,937","8,257","1,299",$39.97,"$3,156.09","$20,061.49","$29,332,469","680,769","8,449","1,336",$43.09,"$3,471.71","$21,955.44",$43.89,7.79%,8.45%
J7644,"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Ipratropium Bromide,Ipratropium Bromide,"$5,341,497","22,722,595","489,424","140,302",$0.24,$10.91,$38.07,"$4,547,280","19,655,752","433,824","125,552",$0.23,$10.48,$36.22,"$3,824,776","17,412,341","396,092","116,978",$0.22,$9.66,$32.70,"$3,327,040","15,675,512","359,729","108,483",$0.21,$9.25,$30.67,"$3,089,798","13,964,851","330,061","105,256",$0.22,$9.36,$29.36,$0.22,4.25%,-1.50%
J7674,"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg",Provocholine,Methacholine Chloride,"$71,682","148,010","2,987","2,951",$0.48,$24.00,$24.29,"$88,945","183,420","3,305","3,276",$0.48,$26.91,$27.15,"$88,605","178,004","3,151","3,123",$0.50,$28.12,$28.37,"$90,115","179,437","3,110","3,087",$0.50,$28.98,$29.19,"$95,702","184,341","3,236","3,203",$0.52,$29.57,$29.88,$0.53,3.38%,1.75%
J7682,"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams",Bethkis*,Tobramycin*,"$31,037,400","291,198","5,775","2,181",$106.59,"$5,374.44","$14,230.81","$32,417,778","316,328","6,371","2,218",$102.48,"$5,088.33","$14,615.77","$24,696,720","345,201","6,647","2,288",$71.54,"$3,715.47","$10,794.02","$18,687,592","379,235","7,630","2,534",$49.28,"$2,449.23","$7,374.74","$17,614,657","427,281","8,334","2,749",$41.22,"$2,113.59","$6,407.66",$42.57,-16.34%,-21.14%
J7686,"Treprostinil, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, 1.74 mg",Tyvaso*,Treprostinil*,"$169,667,343","381,714","13,693","1,784",$444.49,"$12,390.81","$95,105.01","$205,055,984","441,718","15,954","2,055",$464.22,"$12,852.95","$99,783.93","$209,889,246","431,272","15,538","1,953",$486.67,"$13,508.12","$107,470.17","$194,192,664","386,938","13,890","1,719",$501.87,"$13,980.75","$112,968.39","$179,720,684","339,692","12,222","1,533",$529.07,"$14,704.69","$117,234.63",$537.74,5.42%,4.45%
