State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Plainville,Marijuana,not available,not available,not available,not available,not available,0.083,not available,not available,not available,not available
Plainville,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Plainville,Opioids,0.254,0.239,0.318,0.457,0.333,0.381,0.514,0.271,0.394,0.419
Plainville,Other,not available,not available,0.091,not available,not available,not available,not available,not available,not available,not available
Plymouth,Alcohol,0.589,0.55,0.525,0.485,0.478,0.423,0.385,0.401,0.386,0.341
Plymouth,Marijuana,0.052,0.058,0.06,0.062,0.05,0.054,0.069,0.015,0.033,0.029
Plymouth,None,not available,0.008,not available,0.007,not available,not available,not available,not available,not available,not available
Plymouth,Opioids,0.265,0.285,0.312,0.378,0.409,0.478,0.503,0.546,0.533,0.588
Plymouth,Other,0.094,0.099,0.099,0.069,0.062,0.044,0.043,0.034,0.046,0.041
Plympton,Alcohol,0.568,0.565,0.532,0.419,0.636,0.625,0.512,0.383,0.421,0.302
Plympton,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Plympton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Plympton,Opioids,0.364,0.196,0.339,0.302,0.212,not available,0.439,0.553,0.474,0.628
Plympton,Other,not available,not available,0.113,0.14,not available,not available,not available,not available,not available,not available
Princeton,Alcohol,0.667,0.632,0.75,0.875,not available,0.667,not available,0.545,not available,not available
Princeton,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Princeton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Princeton,Opioids,0.286,not available,not available,not available,not available,not available,not available,not available,not available,0.545
Princeton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Provincetown,Alcohol,0.659,0.615,0.518,0.783,0.667,0.791,0.811,0.698,0.606,0.769
Provincetown,Marijuana,0.066,not available,0.072,not available,not available,not available,not available,not available,not available,not available
Provincetown,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Provincetown,Opioids,0.209,0.09,0.133,not available,0.125,not available,not available,0.159,0.169,0.154
Provincetown,Other,not available,0.154,0.157,not available,not available,not available,not available,not available,0.127,not available
Quincy,Alcohol,0.403,0.348,0.327,0.311,0.316,0.303,0.332,0.31,0.298,0.282
Quincy,Marijuana,0.043,0.057,0.039,0.029,0.03,0.019,0.024,0.024,0.024,0.023
Quincy,None,not available,not available,not available,0.005,not available,not available,not available,not available,0.007,not available
Quincy,Opioids,0.439,0.49,0.54,0.567,0.588,0.623,0.589,0.61,0.621,0.641
Quincy,Other,0.114,0.104,0.094,0.088,0.064,0.053,0.053,0.053,0.05,0.052
Randolph,Alcohol,0.515,0.399,0.355,0.436,0.39,0.411,0.441,0.368,0.494,0.445
Randolph,Marijuana,0.085,0.063,0.029,0.061,0.071,0.06,0.035,0.03,0.048,0.045
Randolph,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Randolph,Opioids,0.313,0.416,0.508,0.43,0.498,0.492,0.464,0.537,0.414,0.472
Randolph,Other,0.078,0.123,0.108,0.052,0.033,0.029,0.043,0.049,0.045,0.024
Raynham,Alcohol,0.57,0.492,0.404,0.397,0.362,0.313,0.25,0.194,0.208,0.31
Raynham,Marijuana,0.074,not available,not available,not available,0.053,0.045,0.041,not available,not available,not available
Raynham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Raynham,Opioids,0.314,0.439,0.481,0.538,0.559,0.592,0.686,0.731,0.719,0.612
Raynham,Other,not available,not available,not available,not available,not available,0.034,not available,0.03,not available,not available
Reading,Alcohol,0.374,0.343,0.281,0.402,0.348,0.346,0.37,0.281,0.23,0.284
Reading,Marijuana,not available,0.067,not available,0.046,0.055,not available,0.08,0.047,not available,not available
Reading,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Reading,Opioids,0.585,0.552,0.679,0.5,0.553,0.578,0.514,0.655,0.715,0.672
Reading,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Rehoboth,Alcohol,0.516,0.538,0.5,0.542,0.509,0.453,0.413,0.532,0.417,0.29
Rehoboth,Marijuana,not available,0.108,not available,not available,not available,not available,0.127,not available,not available,not available
Rehoboth,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Rehoboth,Opioids,0.371,0.185,0.394,0.229,0.264,0.454,0.238,0.416,0.524,0.613
Rehoboth,Other,not available,not available,not available,not available,not available,not available,0.095,not available,not available,not available
Revere,Alcohol,0.183,0.192,0.206,0.207,0.233,0.225,0.197,0.216,0.215,0.216
Revere,Marijuana,0.05,0.046,0.052,0.037,0.044,0.029,0.056,0.046,0.037,0.044
Revere,None,not available,not available,not available,not available,not available,0.004,not available,not available,not available,not available
Revere,Opioids,0.679,0.673,0.641,0.668,0.656,0.678,0.687,0.665,0.685,0.672
Revere,Other,0.083,0.088,0.098,0.085,0.067,0.063,0.058,0.072,0.058,0.068
Richmond,Alcohol,0.632,not available,0.522,0.4,0.667,0.625,0.762,0.733,0.417,0.783
Richmond,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Richmond,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Richmond,Opioids,not available,not available,0.348,not available,not available,not available,not available,not available,0.5,not available
Richmond,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Rochester,Alcohol,0.688,0.455,0.488,0.485,0.818,0.478,0.657,0.419,0.56,0.346
Rochester,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Rochester,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Rochester,Opioids,0.281,0.242,0.244,0.394,not available,not available,0.229,0.511,0.28,0.462
Rochester,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Rockland,Alcohol,0.545,0.444,0.442,0.401,0.311,0.333,0.356,0.254,0.23,0.226
Rockland,Marijuana,0.057,0.024,0.025,0.037,0.022,0.044,not available,not available,0.019,0.022
Rockland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Rockland,Opioids,0.341,0.512,0.492,0.49,0.624,0.585,0.59,0.688,0.698,0.708
Rockland,Other,0.054,not available,0.028,0.07,0.031,0.025,0.043,0.033,0.047,0.029
Rockport,Alcohol,0.435,0.643,0.475,0.763,0.5,0.571,0.523,0.385,0.511,0.46
Rockport,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
